code,product_name,quantity,country,ingredients,allergens,additives,additives,nutriscore_score,nutriscore_grade,energy-kcal_100g,energy-kj_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,image_url,image_ingredients_url,image_nutrition_url
5000159031103,Maltesers,175,"Algeria,Belgium,Egypt,France,Germany,Morocco,Qatar,Switzerland,Tunisia,United Arab Emirates","sugar,  milk  ingredients (21%) (skimmed milk powder, milk fat), cocoa butter, glucose syrup, barley malt extract (7%), cocoa mass,  lactose , whey powder, vegetable fat, wheet four, emulsifier (soya lecithin), raising agents (e341, e500, e501), glazing agent (pectin), salt, natural vanilla extract,  milk choclate contains milk solids 14% minimum",en:milk,5,"en:e322,en:e322i,en:e341,en:e440,en:e500,en:e501",26,e,498,2084,24.3,15.1,53,1.1,8.1,0.4,0.16,https://static.openfoodfacts.org/images/products/500/015/903/1103/front_en.68.400.jpg,https://static.openfoodfacts.org/images/products/500/015/903/1103/ingredients_en.77.400.jpg,https://static.openfoodfacts.org/images/products/500/015/903/1103/nutrition_en.9.400.jpg
6194003800317,Lot De 4 Yaourts Délice Nature,110,Tunisie,"lait frais entier enrichi, crème fraîche, ferments lactiques du yaourt",en:milk,0,nothing,-2,a,68,285,3.6,0,0,0,3.6,0,0,https://static.openfoodfacts.org/images/products/619/400/380/0317/front_fr.28.400.jpg,https://static.openfoodfacts.org/images/products/619/400/380/0317/ingredients_fr.24.400.jpg,https://static.openfoodfacts.org/images/products/619/400/380/0317/nutrition_fr.36.400.jpg
6194043001255,Lait Entier Délice (1L),1,Tunisie,"Lait, E339",en:milk,1,en:e339,1,b,57,238,3,3,4.5,0,3,0,0,https://static.openfoodfacts.org/images/products/619/404/300/1255/front_fr.22.400.jpg,https://static.openfoodfacts.org/images/products/619/404/300/1255/ingredients_fr.32.400.jpg,https://static.openfoodfacts.org/images/products/619/404/300/1255/nutrition_fr.39.400.jpg
6191513501031,Fromage Fondu Pour Tartine Président,208,Tunisie,"Fromage, beurre, lactosérum, lait, sels de fonte (E452 E331, E450, E339), Protéines laitières.",nothing,4,"en:e331,en:e339,en:e450,en:e452",8,c,290,1213,24.5,15,0.2,0,9.5,0,0,https://static.openfoodfacts.org/images/products/619/151/350/1031/front_fr.5.400.jpg,https://static.openfoodfacts.org/images/products/619/151/350/1031/ingredients_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/619/151/350/1031/nutrition_fr.15.400.jpg
3760113766480,Parmigiano Reggiano DOP,60,"France,Tunisia","Lait cru de vache, sel, présure.",nothing,0,nothing,17,d,402,1682,30,20,0,0,32,1.6,0.64,https://static.openfoodfacts.org/images/products/376/011/376/6480/front_fr.20.400.jpg,https://static.openfoodfacts.org/images/products/376/011/376/6480/ingredients_fr.22.400.jpg,https://static.openfoodfacts.org/images/products/376/011/376/6480/nutrition_fr.21.400.jpg
6194003350003,Farine Pâtissière L'epi D'or,1,Tunisie,"Farine de blé tendre extraite à PS-7,",nothing,0,nothing,-1,a,342,1431,32,1.5,0.2,1.2,10,0,0,https://static.openfoodfacts.org/images/products/619/400/335/0003/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/619/400/335/0003/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/619/400/335/0003/nutrition_fr.10.400.jpg
6194005461233,Chocolat Club Caramel,45,Tunisie,"Sucre, lait en poudre, beurre de cacao, sirop de glucose, masse de cacao, graisse de soja hydrogénée, beurre de lait, humectant (Sorbitol E420),  émulsifiant (lécithine de soja E322, Glyceryl Monostearate E471), régulateur d'acidité (acide citrique E330), conservateur (acide ascorbique E300), régulateur d'acidité (bicarbonate de sodium E500), sel, arôme identique nature (vanilline), Cacao dans le chocolat 25% minimum.",nothing,5,"en:e322,en:e322i,en:e330,en:e420,en:e420i,en:e471,en:e500,en:e500ii",25,e,0,1922.8,25.14,11.4,45.18,0,6.78,0.16,0.06,https://static.openfoodfacts.org/images/products/619/400/546/1233/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/619/400/546/1233/ingredients_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/619/400/546/1233/nutrition_fr.7.400.jpg
6194029100064,Thon entier de Tunisie EXTRA à l’huile d’olive vierge,160,"France,Tunisie","thon (poisson) 72%, huile d'olive vierge 27,5%, sel 0,5%",nothing,0,nothing,20,e,335,1402,19.25,10.9,0,0,18.16,1.37,0.54,https://static.openfoodfacts.org/images/products/619/402/910/0064/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/619/402/910/0064/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/619/402/910/0064/nutrition_en.9.400.jpg
3046920023009,"Chocoletti - Lait, Praliné, Noisettes",100,"France,Tunisia","Sucre, praliné _noisettes_ (20 %) (_noisettes_, sucre), beurre de cacao, poudre de _lait_, _noisettes_ (7 %), pâte de cacao, _lactose_, matière grasse végétale (palme, karité), poudre de _lait_ écrémé, émulsifiant (lécithine de _soja_), extrait de malt d'_orge_, _amandes_, arômes.","en:gluten,en:milk,en:nuts,en:soybeans",1,"en:e322,en:e322i",26,e,0,2325,35,15,48,0,6.4,0.11,0.04,https://static.openfoodfacts.org/images/products/304/692/002/3009/front_fr.29.400.jpg,https://static.openfoodfacts.org/images/products/304/692/002/3009/ingredients_fr.17.400.jpg,https://static.openfoodfacts.org/images/products/304/692/002/3009/nutrition_fr.16.400.jpg
8000500037560,Kinder Bueno,43,"Algeria,Belgium,France,Morocco,Spain,Switzerland,Tunisia","Chocolat au lait 31,5 % (sucre, beurre de cacao, pâte de cacao, lait écrémé en poudre, beurre concentré, émulsifiants: lécithines [soja], vanilline), sucre, huile de palme, farine de froment, noisettes broyées 10,8%, lait écrémé en poudre, lait en poudre, chocolat noir (sucre, pâte de cacao, beurre de cacao, émulsifiants: lécithines [soja], vanilline), cacao maigre, émulsifiants: lécithines [soja], poudres à lever (carbonate acide de sodium, carbonate acide d'ammonium), sel, vanilline.","en:gluten,en:milk,en:nuts,en:soybeans",3,"en:e322,en:e322i,en:e500,en:e500ii,en:e503,en:e503ii",27,e,572,2384,37.3,17.3,41.2,0,8.6,0.27,0.1,https://static.openfoodfacts.org/images/products/800/050/003/7560/front_fr.108.400.jpg,https://static.openfoodfacts.org/images/products/800/050/003/7560/ingredients_fr.94.400.jpg,https://static.openfoodfacts.org/images/products/800/050/003/7560/nutrition_fr.45.400.jpg
6194005401116,Chocolat Dessert Mille Recettes Said,0,"France,Tunisie,en:tunisia","sucre, masse de cacao,beurre de cacao, émulsifiant (lécithine de soja E322), arôme(vanilline) . Cacao 38% minimum. Ce produit peut contenir des traces de fruits à coques, de céreales et de laits.",nothing,1,"en:e322,en:e322i",7,c,537.57897949219,2249,56.43,0,20,0,05.07,0,0,https://static.openfoodfacts.org/images/products/619/400/540/1116/front_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/619/400/540/1116/ingredients_fr.13.400.jpg,https://static.openfoodfacts.org/images/products/619/400/540/1116/nutrition_fr.22.400.jpg
6194002510194,Biscuits Smile Kif Chocolat (190G),190,Tunisie,empty data,nothing,0,nothing,17,d,434,1816,15,10,28,3.4,6.7,0,0,https://static.openfoodfacts.org/images/products/619/400/251/0194/front_fr.14.400.jpg,https://static.openfoodfacts.org/images/products/619/400/251/0194/ingredients_fr.11.400.jpg,https://static.openfoodfacts.org/images/products/619/400/251/0194/nutrition_fr.24.400.jpg
3564707137577,Pois chiches bio,215,"en:france, en:tunisia","Pois chiches secs trempés*, eau, sel. * Ingrédients issus de l'agriculture biologique.",nothing,0,nothing,-12,a,0,504,2,0.4,0.4,7,6.5,0.4,0.16,https://static.openfoodfacts.org/images/products/356/470/713/7577/front_fr.11.400.jpg,https://static.openfoodfacts.org/images/products/356/470/713/7577/ingredients_fr.12.400.jpg,https://static.openfoodfacts.org/images/products/356/470/713/7577/nutrition_fr.23.400.jpg
6191534802469,Déli’O,0,"France,Tunisie",empty data,nothing,0,nothing,6,d,37,155,0.009,0,0,0,0.61,0,0,https://static.openfoodfacts.org/images/products/619/153/480/2469/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/619/153/480/2469/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/619/153/480/2469/nutrition_fr.12.400.jpg
8410095505564,Helios Fig Jam Extra Preserve,340,"France,Tunisia",empty data,nothing,0,nothing,6,c,181,757,0,0,42.5,0,0.5,0,0,https://static.openfoodfacts.org/images/products/841/009/550/5564/front_fr.3.400.jpg,https://static.openfoodfacts.org/images/products/841/009/550/5564/ingredients_fr.8.400.jpg,https://static.openfoodfacts.org/images/products/841/009/550/5564/nutrition_fr.21.400.jpg
6191534802506,Déli'o menthe,25,Tunisie,"eau, anhydride carbonique, sucre, régulateur d'acidité E330, antioxygène E300, conservateurs (E211, E202), aróme naturel",nothing,4,"en:e202,en:e211,en:e290,en:e300",8,d,20,84,0.1,0.1,7.47,0,0.7,0,0,https://static.openfoodfacts.org/images/products/619/153/480/2506/front_fr.3.400.jpg,https://static.openfoodfacts.org/images/products/619/153/480/2506/ingredients_fr.12.400.jpg,https://static.openfoodfacts.org/images/products/619/153/480/2506/nutrition_fr.20.400.jpg
6221031498107,chips,43,Tunisia,"Fresh Potatoes-Vegetable oil Cheese and onion flavor (Natural flavoring substances-Artificial flavoring substances) (Onion powder - Whey powder - Wheat flour Edible salt - Flavor enhancer (INS 627, INS 621 Sugar powder - Malt dextrin Anti caking agent (INS 551) INS 508) Vegetable oil Food acid (INS 30)-Color (INS 160b)] It contains: Milk and milk derivatives (Lactose) Wheat &wheat derivatives",nothing,4,"en:e160b,en:e551,en:e621,en:e627",1,b,48.799999237061,204,2.79,1.29,0.18,0.54,0.82,0.15,0.06,https://static.openfoodfacts.org/images/products/622/103/149/8107/front_fr.18.400.jpg,https://static.openfoodfacts.org/images/products/622/103/149/8107/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/622/103/149/8107/nutrition_fr.20.400.jpg
