code,product_name,quantity,country,ingredients,allergy,additives,nutriscore_score,nutriscore_grade,energy-kcal_100g,Energy-kj_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,image_url,image_ingredients_url,image_nutrition_url
8851351911192,มินิโลฟเบรด,40,Thailand,"Wheat Flour 54.8 %, Margarine 4.4%, Sugar 4.4%, Coffee Creamer 1.6%,lodized Salt 0.9%, Yeast 0.7%, Preservative Added INS 282, Natural Color Added INS 160a(i),  Artificial Flavor Added, Food Additives (INS 262(), INS 297, INS 300, INS 307b, INS 322(), INS 340(i), INS 471, INS 477, INS 481(0), INS 491, INS 551, INS 927a, INS 928, INS 1100(0)","en:fish,en:gluten,en:milk,en:nuts,en:soybeans,en:lecithin","en:e1100,en:e262,en:e297,en:e300,en:e307b,en:e322,en:e340,en:e340i,en:e471,en:e477,en:e481,en:e491,en:e551,en:e927a,en:e928",9,c,286,1200,6.12,3.06,4.08,2.04,8.16,1.17,0.469,https://static.openfoodfacts.org/images/products/885/135/191/1192/front_th.4.400.jpg,https://static.openfoodfacts.org/images/products/885/135/191/1192/ingredients_th.15.400.jpg,https://static.openfoodfacts.org/images/products/885/135/191/1192/nutrition_th.18.400.jpg
3351700071317,Crispy Onions,150,France,"Oignons 76%, Huile de palme, Farine de blé, sel",en:gluten,no_additives,16,d,580,2410,44,20,15,0,6,1,0.4,https://static.openfoodfacts.org/images/products/335/170/007/1317/front_fr.3.400.jpg,https://static.openfoodfacts.org/images/products/335/170/007/1317/ingredients_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/335/170/007/1317/nutrition_fr.9.400.jpg
5057753283988,Garlic Baguette,170,en:United Kingdom,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Palm Oil, Rapeseed Oil, Garlic, Salt, Yeast, Concentrated Lemon Juice, Dried Parsley, Emulsifier (Mono - and Di-Glycerides of Fatty Acids), Flour Treatment Agent (Ascorbic Acid), Flavouring, Colour (Beta-Carotene). Allergy Advice For allergens, including cereals containing gluten, see ingredients in bold. Suitable for vegans",en:gluten,"en:e160a,en:e160ai,en:e300,en:e471",-2,a,339,1418,13,4,2.7,2.2,9.7,0.8,0.32,https://static.openfoodfacts.org/images/products/505/775/328/3988/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/ingredients_en.7.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/nutrition_en.10.400.jpg
26044088,Oignons frits,100,France,"Oignons (75%), huile de palme, farine de blé, sel.",en:gluten,no_additives,15,d,599,2506,44,21,8.5,0,6,1.2,0.48,https://static.openfoodfacts.org/images/products/26044088/front_fr.19.400.jpg,https://static.openfoodfacts.org/images/products/26044088/ingredients_fr.8.400.jpg,https://static.openfoodfacts.org/images/products/26044088/nutrition_fr.21.400.jpg
17393751,Finesse légumes bouillon,160,en:Belgium,"Sel, exhausteur de goût E621, graisse de palme, qmidon de pomme de terre. extrait de levure.",en:gluten,en:e621,0,b,0,0,8.2,5.6,0,0.9,19,5.11,2.04,https://static.openfoodfacts.org/images/products/17393751/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/17393751/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/17393751/nutrition_fr.12.400.jpg
5057753283988,Garlic Baguette,170,en:United Kingdom,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Palm Oil, Rapeseed Oil, Garlic, Salt, Yeast, Concentrated Lemon Juice, Dried Parsley, Emulsifier (Mono - and Di-Glycerides of Fatty Acids), Flour Treatment Agent (Ascorbic Acid), Flavouring, Colour (Beta-Carotene). Allergy Advice For allergens, including cereals containing gluten, see ingredients in bold. Suitable for vegans",en:gluten,"en:e160a,en:e160ai,en:e300,en:e471",-2,a,339,1418,13,4,2.7,2.2,9.7,0.8,0.32,https://static.openfoodfacts.org/images/products/505/775/328/3988/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/ingredients_en.7.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/nutrition_en.10.400.jpg
8851351900097,แพนเบรดไส้ถั่วแดง,90,"ประเทศไทย (Thai),en:thailand","แwนเบรดไส้ถั่วแดง (Red Bean Filled Panbread) ส่วนประกอบที่สำคัญ (Ingredients) TărnoIAJ (Red Bean Paste Filling) HÜJana (Wheat Flour) Jhana (Sugar) มาการีน (Margarine) TVIri (Egg) IAnőTAsa (Dextrose) daá (Yeast) เกลือเสริมไอโอดีน (lodized Salt) 38.1% 31.8% 6.4% 4.5% 1.6% 1.0% 0.5% 0.4% l8önņñuiāu (Preservative Added) (INS 202, INS 282) 1õoasssJBnä (Natural Color Added) (INS 160a(i) แต่งกลิ่นสังเคราะห์ (stificial Flavor Added) SAņibaduenms (Food Additives) (INS 300, INS 322(), INS 450(ii), INS 471, INS 477, INS 481, S 491, INS 927a, INS 928, INS 1100() ข้อ สำหรับผู้แพ้อาหาร : มีแป้งสาลี ไV่ เลซิติน ฉาวเหลือง และอาจมี นม ปลา และอัลมอนด์",en:gluten,"en:e1100,en:e160a,en:e202,en:e282,en:e300,en:e322,en:e450,en:e471,en:e477,en:e481,en:e927a,en:e928",-1,a,344,1440,8.89,5,22.2,5.56,8.89,0.53,0.233,https://static.openfoodfacts.org/images/products/885/135/190/0097/front_th.16.400.jpg,https://static.openfoodfacts.org/images/products/885/135/190/0097/ingredients_th.19.400.jpg,https://static.openfoodfacts.org/images/products/885/135/190/0097/nutrition_th.22.400.jpg
7617027626804,Gnocchi de pommes de terre,700,"Suisse, en:france","Eau, fins finots de blé dur, flocons de pommes de terre 11% (pommes de terre, émulsifiant: E471, stabilisant: E450, épices, antioxydants: disulfite de sodium, acide citrique et E304), fécule de pommes de terre, farine de riz, sel de cuisine iodé,",en:gluten,"en:e223,en:e304,en:e330,en:e450,en:e471",-5,a,143,598,0.5,0.5,0.5,2,4,0.8,0.32,https://static.openfoodfacts.org/images/products/761/702/762/6804/front_fr.5.400.jpg,,https://static.openfoodfacts.org/images/products/761/702/762/6804/nutrition_fr.17.400.jpg
20337421,Légumes vapeur,300,Belgique,"43% petits pois, 42% carottes,6% oignon, préparation de matières grasses (graisse de palme, huile de coco, huile de colza, eau, jus de citron), eau, sel, 0,36 % thym, beurre (lait), amidon de riz, extrait de levure, poivre. Peut contenir des traces de céleri.",en:milk,no_additives,-6,a,74,311,3,2.4,4.2,3.7,4,0.55,0.22,https://static.openfoodfacts.org/images/products/20337421/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/20337421/ingredients_fr.11.400.jpg,https://static.openfoodfacts.org/images/products/20337421/nutrition_fr.8.400.jpg
7616800214078,M-Classic Delicious Croquettes de Rösti,600,Suisse,"Pommes de terre 84%, huile de tournesol, flocons de pommes de terre (pommes de terre 99%, émulsifiant : E471, stabilisant : diphosphates, lait écrémé en poudre, antioxydant : E304, disulfite de sodium et acide ascorbique, épice), sel de cuisine, amidon de riz, blanc d'oeuf en poudre (d'élevage au sol), condiment en poudre (avec antioxydant : acide citrique), arôme naturel (avec sucre du lait), antioxydant: disulfite de sodium.",en:gluten,"en:e223,en:e300,en:e304,en:e330,en:e450,en:e471",-2,a,171,706,6.3,0.5,0.5,2,2.4,1,0.4,https://static.openfoodfacts.org/images/products/761/680/021/4078/front_fr.19.400.jpg,https://static.openfoodfacts.org/images/products/761/680/021/4078/ingredients_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/761/680/021/4078/nutrition_fr.21.400.jpg
