product_name,ingredients,nutrition_grade,nutrition_score,energy,sugar,fiber,protein,sodium,fat,saturated_fat,lipids,carbohydrates,additives,allergy,category
"Salsa Agridulce","Azúcar, agua, vinagre de vino, espesantes: agar-agar (E-406) y goma guar (E-412) y colorantes: betacaroteno (E-160a) y antocianina (E-163).",c,9.0,657.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"en:e160a,en:e160ai,en:e163,en:e406,en:e412","no allergy",sauces
"Sauce basquaise","Tomates pelées concassées 57%, eau, oignons 7%, double concentré de tomates 6,0%, courgette 4,3%, huile de colza, poivrons rouges 3,0%, poivrons verts 3,0%, amidon modifié de mais, sucre, mélange aromatisant (sel, sirop de glucose, oignon en poudre, extrait de levure, dextrose, huiles végétales (colza, tournesol); épices, carotte en poudre, poireau en poudre, arôme naturel), arôme naturel d'ail, sel, thym, extrait d'épice, persil, jus de citron concentré.",b,2.0,276.0,4.5,0.0,1.0,0.43,3.5,0.2,0.0,0.0,en:e14xx,"no allergy",sauces
"Sauce Samouraï","Huile de colza, eau, jaune d'oeuf, vinaigre d'alcool, sirop de glucose-fructose, poivron 3,2%, sel, épices (dont piments rouges réhydratés 1.2%), moutarde (eau, vinaigre d'alcool, graines de moutarde, acidifiant: acide citrique, épice, épaississants (gomme guar, gomme xanthane)), acidifiants (glucono-delta-lactone, acide citrique), amidon modifié de maïs (contient sulfites), extrait d'épice, conservateur: sorbate de potassium, épaississants (gomme guar, gomme xanthane), arôme, colorants: bêta-carotène, extrait de paprika.",e,19.0,2598.0,4.33,0.38,1.24,0.72,66.88,5.21,0.0,0.0,"en:e14xx,en:e160a,en:e160ai,en:e160c,en:e202,en:e330,en:e412,en:e415,en:e575","no allergy",sauces
"Amora Mayonnaise De Dijon Oeufs de poules élevées en plein air","huiles végétales (tournesol, colza), vinaigre de vin blanc, eau, moutarde de Dijon (eau, graines de MOUTARDE, vinaigre d'alcool, sel), jaune d'ŒUF de poules élevées en plein air 5,1%, sel, sucre, dextrine, épaississant : gomme xanthane, arômes, colorants : lutéine et extrait de paprika.",e,20.0,2679.0,1.4,0.6,1.2,0.72,70.0,7.0,0.0,0.0,"en:e1400,en:e160c,en:e161b,en:e415","no allergy",sauces
"Knorr Fond De Veau","Amidon de pomme de terre, arômes (dont LAIT), sel, maltodextrine, sucre, tomate¹, oignon grillé¹, viande de veau (viande de veau : 3,1%, antioxydants : E 320 et E 310), huile de palme, chlorure de potassium, colorant : caramel E 150c, protéines végétales hydrolysées, extrait de vin blanc, ail¹. Peut contenir : céleri, gluten, moutarde, œuf, soja. ¹Ingrédients issus de l'agriculture durable : 7,7%.",e,20.0,1301.0,10.0,1.3,7.9,6.72,3.0,1.5,0.0,0.0,"en:e150c,en:e310,en:e320","no allergy",sauces
"Amora Mayonnaise De Dijon Nature Flacon Souple","Huiles végétales (tournesol, colza), vinaigre de vin blanc, eau, moutarde de Dijon (eau, graines de MOUTARDE, vinaigre d'alcool, sel), jaune d'ŒUF de poules élevées en plein air 5,1%, sel, sucre, dextrine, épaississant : gomme xanthane, arômes, colorants : lutéine et extrait de paprika.",e,20.0,2679.0,1.4,0.6,1.2,0.72,70.0,7.0,0.0,0.0,"en:e1400,en:e160c,en:e161b,en:e415","no allergy",sauces
"Amora Mayonnaise De Dijon Nature aux oeufs de poules élevées en plein air","Huiles végétales (tournesol, colza), vinaigre de vin blanc, eau, moutarde de Dijon (eau, graines de MOUTARDE, vinaigre d'alcool, sel), jaune d'ŒUF de poules élevées en plein air 5,1%, sel, sucre, dextrine, épaississant : gomme xanthane, arômes, colorants : lutéine et extrait de paprika.",e,20.0,2679.0,1.4,0.6,1.2,0.72,70.0,7.0,0.0,0.0,"en:e1400,en:e160c,en:e161b,en:e415","no allergy",sauces
"Knorr Sauce Champignons à la Crème Fraîche Brique","eau, champignon de Paris¹ : 10,8%, CRÈME fraîche : 5,6%, huiles végétales (tournesol, palme), amidon modifié de maïs, sel iodé, amidon de pomme de terre, arômes, jus d'échalote¹ concentré, émulsifiant : E 472e, épaississants : gomme xanthane et gomme guar, oignon¹, jus de champignon concentré : 0,2%, sucre, sel, extrait de levure. Peut contenir : céleri, gluten, moutarde, œuf, soja. ¹Ingrédients issus de l'agriculture durable : 11%.",c,5.0,380.0,0.7,0.5,0.7,0.344,7.1,2.0,0.0,0.0,"en:e14xx,en:e412,en:e415,en:e472e","no allergy",sauces
"Amora Mayonnaise Dijon Nature Œufs Français Flacon Souple Flacon Souple 685g 4 + 2 Offerts","huiles végétales (tournesol, colza), vinaigre de vin blanc, eau, moutarde de Dijon (eau, graines de MOUTARDE, vinaigre d'alcool, sel), jaune d'ŒUF de poules élevées en plein air origine France 5,1%, sel, sucre, dextrine, épaississant : gomme xanthane, arômes, colorants : lutéine et extrait de paprika.",e,20.0,2679.0,1.4,0.6,1.2,0.72,70.0,7.0,0.0,0.0,"en:e1400,en:e160c,en:e161b,en:e415","no allergy",sauces
"Sauce vinaigrette nature allégé en matière grasse","Eau, huile de colza 25%, vinaigres d'alcool et vinaigre de vin rouge élevé en fûts de chêne, moutarde de Dijon (eau, graines de moutarde, vinaigre d'alcool, sel, acidifiant : acide citrique), sel, sucre, amidon modifié de pomme de terre, jus de citron concentré, épaississant : gomme xanthane, colorant : bêta-carotène, arôme, poivre.",c,3.0,1000.0,1.0,0.0,0.6,0.0,25.0,1.8,0.0,0.0,"en:e14xx,en:e160a,en:e160ai,en:e330,en:e415","no allergy",sauces
